"Categoria","Ano","num_chave_nota_fiscal_eletronica","num_item_nota_fiscal_eletronica","cod_anp","cod_ncm","cod_unidade","des_anp","des_produto"
CB,2017,"43171113685203000291650010000750411000750414",1,,"27101259",LT,,SHELL V-POWER NITRO GASOLINA ADITIVADA
CB,2017,"43171207688812000200650040000569001687725356",2,,"27101921",LT,,DIESEL B S500
CB,2017,"43171209434790000198650010000418281161784430",1,,"27101259",LTS,,GASOLINA COMUM Bc-3
CB,2017,"43171209434790000198650010000418281161784430",2,,"34031900",UNI,,OLEO LUBRAX VALORA 5W-30 L
CB,2017,"43171213850968000159650010000336971351966983",1,,"27101921",L,,DIESEL B S10
CB,2018,"11181103754107000113550040000521441304889559",1,,"27101259",LT,,GASOLINA COMUM
CB,2018,"11181103754107000113550040000521441304889559",2,,"27101259",LT,,GASOLINA COMUM
CB,2018,"11181103754107000113550040000521441304889559",3,,"27101259",LT,,GASOLINA COMUM
CB,2018,"11181103754107000113550040000521441304889559",4,,"27101259",LT,,GASOLINA GRID
CB,2018,"11181103754107000113550040000521441304889559",5,,"27101932",UND,,LUBRAX ESSENCIAL 2T - 500ML
CB,2018,"11181103754107000113550040000521441304889559",6,,"27101932",UND,,LUBRAX ESSENCIAL 2T - 200 ML
CB,2018,"11181103754107000113550040000521441304889559",8,,"27101921",LT,,OLEO DIESEL B S-10
CB,2018,"11181203754107000113550040000523061104478648",1,,"27101259",LT,,GASOLINA COMUM
CB,2018,"11181203754107000113550040000523061104478648",2,,"27101259",LT,,GASOLINA COMUM
CB,2018,"11181203754107000113550040000523061104478648",4,,"27101921",LT,,OLEO DIESEL B S-10
CB,2018,"11181203754107000113550040000523061104478648",5,,"27101932",UND,,LUBRAX EXTREMO 5W30 3L
CB,2018,"13180502433990000187650010000966141000966148",1,,"84212990",UND,,IPI BRUTUS API CI4 15W40 LT
CB,2018,"17180902991502000157550010000359941000205890",1,,"27101932",UN,,LT 20W50 SL
CB,2018,"17180902991502000157550010000359941000205890",2,,"27101932",UN,,"500 ML ATF"
CB,2018,"17180902991502000157550010000359941000205890",3,"620401001","27101932",UN,OLEOS LUBRIFICANTES FERROVIARIOS - OLEOS LUBRIFICANTES ACABADOS,"500 ML NAUTICO TCW3"
CB,2018,"17180902991502000157550010000359941000205890",4,,"27101932",UN,,"200 ML IPIRANGA 2T"
CB,2018,"17180902991502000157550010000359941000205890",5,"820101012","27101921",L,OLEO DIESEL B S500 - COMUM,OLEO DIESEL B S-500
CB,2018,"17180902991502000157550010000359941000205890",6,,"27101932",UN,,"500 ML IPI FLUIDO FREIO DOT3"
CB,2018,"17180902991502000157550010000359941000205890",7,"820101012","27101921",L,OLEO DIESEL B S500 - COMUM,OLEO DIESEL B S-500
CB,2018,"17180902991502000157550010000359941000205890",8,"820101001","27102000",L,BIODIESEL B100 - BIODIESEL,OLEO DIESEL S-10
CB,2018,"17180902991502000157550010000359941000205890",9,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA C ADITIVADA
CB,2018,"17180902991502000157550010000359941000205890",10,,"27101932",UN,,LT TEXACO SEMISSINTETICO SL 15W40
CB,2018,"17180902991502000157550010000359941000205890",11,,"27101932",UN,,LT TEXACO SEMI SINTETICO 10W40
CB,2018,"17180902991502000157550010000359941000205890",12,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA C COMUM
CB,2018,"17180902991502000157550010000359941000205890",13,,"27101932",UN,,LT TEXACO HAV. SINTETICO 5W30 SN
CB,2018,"17180904797330000100550000000390241001316814",2,"320102003","27101259",L,GASOLINA C PREMIUM - GASOLINAS,GASOLINA C ADITIVADA
CB,2018,"17180904797330000100550000000390241001316814",3,"820101001","27101259",L,BIODIESEL B100 - BIODIESEL,OLEO DIESEL S-10
CB,2018,"17180904797330000100550000000390241001316814",4,"810101001","22072019",L,ALCOOL ETILICO HIDRATADO COMUM - ALCOOL,ETANOL HIDRATADO COMUM
CB,2018,"17180904797330000100550000000390241001316814",5,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA C COMUM
CB,2018,"24181007006283000209550010000027741000912564",1,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",2,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",3,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",4,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
